"condition","expression","E1","E2","E3","E4","E5","E6"
"WT",0.959065814857889,1,1,1,1,1,1
"WT",1.00416143456925,1,1,1,1,1,1
"WT",0.947421696020681,1,1,1,1,1,1
"WT",1.08274295785435,1,1,1,1,1,1
"WT",1.01228126041997,1,1,1,1,1,1
"WT",0.948265619372941,1,1,1,1,1,1
"WT",1.02107225313861,1,1,1,1,1,1
"WT",1.03503884362892,1,1,1,1,1,1
"WT",1.02599055430832,1,1,1,1,1,1
"WT",0.976938541003424,1,1,1,1,1,1
"WT",1.07809478967271,1,1,1,1,1,1
"WT",1.01563995044503,1,1,1,1,1,1
"WT",0.959356019373427,1,1,1,1,1,1
"WT",0.870653033254688,1,1,1,1,1,1
"WT",1.05656002424746,1,1,1,1,1,1
"WT",0.991437258651125,1,1,1,1,1,1
"WT",0.993037312448044,1,1,1,1,1,1
"WT",1.04647903802151,1,1,1,1,1,1
"WT",1.03965343665203,1,1,1,1,1,1
"WT",1.02699923736788,1,1,1,1,1,1
"WT",1.04509522279108,1,1,1,1,1,1
"WT",1.03747770061155,1,1,1,1,1,1
"WT",0.998089378311155,1,1,1,1,1,1
"WT",0.883197475025356,1,1,1,1,1,1
"WT",1.02844237058761,1,1,1,1,1,1
"WT",0.990814060115445,1,1,1,1,1,1
"WT",0.985265917261388,1,1,1,1,1,1
"WT",0.912066306114279,1,1,1,1,1,1
"WT",0.96732142949615,1,1,1,1,1,1
"WT",1.01720409784093,1,1,1,1,1,1
"WT",1.06957209283067,1,1,1,1,1,1
"WT",0.988216697552659,1,1,1,1,1,1
"WT",1.01551906275853,1,1,1,1,1,1
"WT",0.990943413299741,1,1,1,1,1,1
"WT",0.917281898068505,1,1,1,1,1,1
"WT",0.970837101775901,1,1,1,1,1,1
"WT",0.971989663808297,1,1,1,1,1,1
"WT",0.990636780030131,1,1,1,1,1,1
"WT",1.05517360897721,1,1,1,1,1,1
"WT",1.03642222489395,1,1,1,1,1,1
"WT",0.984780051320025,1,1,1,1,1,1
"WT",0.979834708010242,1,1,1,1,1,1
"WT",1.03273638542298,1,1,1,1,1,1
"WT",1.0249263054434,1,1,1,1,1,1
"WT",0.955597660314183,1,1,1,1,1,1
"WT",0.954554491990188,1,1,1,1,1,1
"WT",1.01423373288303,1,1,1,1,1,1
"WT",1.03672044243332,1,1,1,1,1,1
"WT",0.987684606057356,1,1,1,1,1,1
"WT",1.04298713594228,1,1,1,1,1,1
"WT",1.01609990645962,1,1,1,1,1,1
"WT",0.959868944883334,1,1,1,1,1,1
"WT",1.01292766032463,1,1,1,1,1,1
"WT",0.931070399367457,1,1,1,1,1,1
"WT",1.07371060336135,1,1,1,1,1,1
"WT",1.10418135525612,1,1,1,1,1,1
"WT",0.973496482809709,1,1,1,1,1,1
"WT",0.935814806544307,1,1,1,1,1,1
"WT",1.02565311673692,1,1,1,1,1,1
"WT",0.986420499626731,1,1,1,1,1,1
"WT",1.12762926008197,1,1,1,1,1,1
"WT",0.991754204227896,1,1,1,1,1,1
"WT",1.03233424680663,1,1,1,1,1,1
"WT",0.995497368860038,1,1,1,1,1,1
"WT",0.952562837713467,1,1,1,1,1,1
"WT",1.00444806221137,1,1,1,1,1,1
"WT",0.893462070796284,1,1,1,1,1,1
"WT",1.07552151312832,1,1,1,1,1,1
"WT",1.00246971737511,1,1,1,1,1,1
"WT",1.11488119431685,1,1,1,1,1,1
"WT",1.02040872986838,1,1,1,1,1,1
"WT",0.954418037096665,1,1,1,1,1,1
"WT",1.0279358352451,1,1,1,1,1,1
"WT",0.941940228116302,1,1,1,1,1,1
"WT",0.924152653166583,1,1,1,1,1,1
"WT",1.01016249158048,1,1,1,1,1,1
"WT",0.969261877433197,1,1,1,1,1,1
"WT",0.994000106205608,1,1,1,1,1,1
"WT",0.998076927889591,1,1,1,1,1,1
"WT",0.961121754007536,1,1,1,1,1,1
"WT",0.96228253268909,1,1,1,1,1,1
"WT",0.986413596301668,1,1,1,1,1,1
"WT",1.05951905989241,1,1,1,1,1,1
"WT",0.909126289738044,1,1,1,1,1,1
"WT",1.0270017349432,1,1,1,1,1,1
"WT",1.01247289935631,1,1,1,1,1,1
"WT",1.05311807785762,1,1,1,1,1,1
"WT",0.977005589788814,1,1,1,1,1,1
"WT",1.01453638550246,1,1,1,1,1,1
"WT",1.00880714410203,1,1,1,1,1,1
"WT",0.96373815061765,1,1,1,1,1,1
"WT",1.06117686609599,1,1,1,1,1,1
"WT",1.05853462471729,1,1,1,1,1,1
"WT",1.03291731820117,1,1,1,1,1,1
"WT",1.08227271995527,1,1,1,1,1,1
"WT",1.02502779888536,1,1,1,1,1,1
"WT",0.922874606819076,1,1,1,1,1,1
"WT",0.962026649550845,1,1,1,1,1,1
"WT",0.925768151164251,1,1,1,1,1,1
"WT",0.9675858150481,1,1,1,1,1,1
"E1",0.742669182754109,0,1,1,1,1,1
"E1",0.789289316696483,0,1,1,1,1,1
"E1",0.849753414708408,0,1,1,1,1,1
"E1",0.732607846137427,0,1,1,1,1,1
"E1",0.77786441768239,0,1,1,1,1,1
"E1",0.787029819282975,0,1,1,1,1,1
"E1",0.811833288038309,0,1,1,1,1,1
"E1",0.770992855863289,0,1,1,1,1,1
"E1",0.866846683947009,0,1,1,1,1,1
"E1",0.775341758273432,0,1,1,1,1,1
"E1",0.799322228580997,0,1,1,1,1,1
"E1",0.823633001146514,0,1,1,1,1,1
"E1",0.764399220050469,0,1,1,1,1,1
"E1",0.736516979208936,0,1,1,1,1,1
"E1",0.858130651403321,0,1,1,1,1,1
"E1",0.681724198123918,0,1,1,1,1,1
"E1",0.819187684114978,0,1,1,1,1,1
"E1",0.782866121356689,0,1,1,1,1,1
"E1",0.824972261524829,0,1,1,1,1,1
"E1",0.799952056925654,0,1,1,1,1,1
"E1",0.871429783308517,0,1,1,1,1,1
"E1",0.729610484513613,0,1,1,1,1,1
"E1",0.849830680930498,0,1,1,1,1,1
"E1",0.865561450101033,0,1,1,1,1,1
"E1",0.781535780792295,0,1,1,1,1,1
"E1",0.67566323515682,0,1,1,1,1,1
"E1",0.801890195084918,0,1,1,1,1,1
"E1",0.755613464548476,0,1,1,1,1,1
"E1",0.815464097755467,0,1,1,1,1,1
"E1",0.793805282923215,0,1,1,1,1,1
"E1",0.813168581815535,0,1,1,1,1,1
"E1",0.795069028747622,0,1,1,1,1,1
"E1",0.827701801206853,0,1,1,1,1,1
"E1",0.769076802535386,0,1,1,1,1,1
"E1",0.747851063819084,0,1,1,1,1,1
"E1",0.755652150900783,0,1,1,1,1,1
"E1",0.706939447073602,0,1,1,1,1,1
"E1",0.74242482898745,0,1,1,1,1,1
"E1",0.757229418495479,0,1,1,1,1,1
"E1",0.770699173513096,0,1,1,1,1,1
"E1",0.764791790731049,0,1,1,1,1,1
"E1",0.696892665476638,0,1,1,1,1,1
"E1",0.745048513453243,0,1,1,1,1,1
"E1",0.863359043596875,0,1,1,1,1,1
"E1",0.808150234347316,0,1,1,1,1,1
"E1",0.86712450491176,0,1,1,1,1,1
"E1",0.768157728295178,0,1,1,1,1,1
"E1",0.777407919873157,0,1,1,1,1,1
"E1",0.773386282800637,0,1,1,1,1,1
"E1",0.729660392498802,0,1,1,1,1,1
"E1",0.745195813215207,0,1,1,1,1,1
"E1",0.870373151998499,0,1,1,1,1,1
"E1",0.757092150461342,0,1,1,1,1,1
"E1",0.83630173985075,0,1,1,1,1,1
"E1",0.736176360261259,0,1,1,1,1,1
"E1",0.696600684438338,0,1,1,1,1,1
"E1",0.767404085463834,0,1,1,1,1,1
"E1",0.821655296061439,0,1,1,1,1,1
"E1",0.830419695688698,0,1,1,1,1,1
"E1",0.853363749109252,0,1,1,1,1,1
"E1",0.704256159927569,0,1,1,1,1,1
"E1",0.868862241964787,0,1,1,1,1,1
"E1",0.751019983444112,0,1,1,1,1,1
"E1",0.788139313885435,0,1,1,1,1,1
"E1",0.803139883030278,0,1,1,1,1,1
"E1",0.745984134567465,0,1,1,1,1,1
"E1",0.695179849499586,0,1,1,1,1,1
"E1",0.760667190012652,0,1,1,1,1,1
"E1",0.784950832056133,0,1,1,1,1,1
"E1",0.742730721668633,0,1,1,1,1,1
"E1",0.741619305971898,0,1,1,1,1,1
"E1",0.795564167820762,0,1,1,1,1,1
"E1",0.775217907945831,0,1,1,1,1,1
"E1",0.80006335801577,0,1,1,1,1,1
